"drug_concept_name","drug_concept_id","UCLH","UHB"
"Abacavir 300mg tablets",21236745,"128","<=10"
"Abacavir 600mg / Lamivudine 300mg tablets",21254939,"61","<=10"
"Abasaglar 100units/ml solution for injection 3ml cartridges",21260998,"16","<=10"
"Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pens",21298431,"970","<=10"
"Abatacept",21290999,"<=10","95"
"Abatacept 250mg powder for solution for infusion vials",21254764,"53","<=10"
"Abiraterone",21235181,"<=10","238"
"Abiraterone 500mg tablets",40702990,"57","<=10"
"Acamprosate",21253621,"<=10","222"
"Acamprosate 333mg gastro-resistant tablets",21292984,"47","<=10"
"Acapella Choice Blue mucus clearance device",21371516,"13","<=10"
"Acarbose",21234910,"<=10","59"
"Acarbose 50mg tablets",21237145,"28","<=10"
"Accrete D3 tablets",21222715,"<=10","<=10"
"Acebutolol-containing product",4195368,"<=10","<=10"
"Acenocoumarol",21253605,"<=10","39"
"Acenocoumarol 1mg tablets",21311714,"<=10","<=10"
"Acetazolamide",21178874,"<=10","683"
"Acetazolamide 250mg tablets",21218675,"2508","<=10"
"Acetazolamide 500mg powder for solution for injection vials",21292616,"<=10","<=10"
"Acetic acid",21216394,"<=10","40"
"Acetic acid 2% ear spray",21274085,"73","<=10"
"Acetic acid 5% liquid",21235557,"142","<=10"
"Acetylcysteine",21272100,"<=10","8976"
"Acetylcysteine 5% eye drops",21181158,"195","<=10"
"Acetylcysteine 600mg effervescent tablets sugar free",40702514,"<=10","<=10"
"Aciclovir",21272101,"<=10","34117"
"Aciclovir 200mg dispersible tablets",21200011,"87957","<=10"
"Aciclovir 200mg tablets",21311744,"431","<=10"
"Aciclovir 200mg/5ml oral suspension sugar free",36814990,"794","<=10"
"Aciclovir 250mg powder for solution for injection vials",21199554,"254","<=10"
"Aciclovir 250mg/10ml solution for infusion vials",36814991,"7409","<=10"
"Aciclovir 3% eye ointment",21237172,"<=10","<=10"
"Aciclovir 400mg dispersible tablets",21218471,"2005","<=10"
"Aciclovir 5% cream",21218488,"1208","<=10"
"Aciclovir 500mg powder for solution for injection vials",21292606,"64","<=10"
"Aciclovir 500mg/20ml solution for infusion vials",36814997,"162","<=10"
"Aciclovir 800mg dispersible tablets",21218701,"446","<=10"
"Acitretin",21309465,"<=10","49"
"Acitretin 10mg capsules",21274235,"19","<=10"
"Acitretin 25mg capsules",21292892,"40","<=10"
"Aclidinium bromide",21291043,"<=10","1450"
"Aclidinium bromide + Formoterol",21179209,"<=10","1118"
"Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler",21179382,"72","<=10"
"Acrivastine",21309466,"<=10","16"
"Activated charcoal",21290341,"<=10","18"
"Activated charcoal 1.04g/5ml oral suspension",21199504,"<=10","<=10"
"Activated charcoal 200mg/ml oral suspension sugar free",21292624,"<=10","<=10"
"Adalimumab",21197687,"<=10","<=10"
"Adalimumab 40mg/0.4ml solution for injection pre-filled disposable devices",40702245,"<=10","<=10"
"Adalimumab 40mg/0.4ml solution for injection pre-filled syringes",40702243,"<=10","<=10"
"Adalimumab 40mg/0.8ml solution for injection pre-filled disposable devices",21273422,"21","<=10"
