"condition_concept_name","condition_concept_id","UCLH","UHB"
"(Symptom: [SOB] or [breathlessness] or [dyspnea]) or (breathlessness)",40325176,"<=10","18"
"1+ pitting edema",4227224,"<=10","<=10"
"13q partial monosomy syndrome",4161094,"<=10","<=10"
"22q11.2 deletion syndrome",35624485,"<=10","<=10"
"3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency",4212356,"<=10","<=10"
"3p partial monosomy syndrome",42709947,"<=10","<=10"
"46,XY ovotesticular disorder of sex development",35622283,"<=10","<=10"
"5,10-Methylenetetrahydrofolate reductase deficiency",4216432,"11","<=10"
"AA amyloidosis",4166276,"<=10","<=10"
"Abdominal abscess",4326255,"<=10","<=10"
"Abdominal actinomycosis",45547408,"<=10","<=10"
"Abdominal aortic aneurysm",198177,"115","12"
"Abdominal aortic aneurysm without rupture",321314,"<=10","<=10"
"Abdominal aortic aneurysm, ruptured",45591511,"<=10","15"
"Abdominal aortic aneurysm, without mention of rupture",45572130,"<=10","699"
"Abdominal aortic atherosclerosis",4124834,"<=10","<=10"
"Abdominal aortic coarctation",4108748,"<=10","<=10"
"Abdominal bloating",4023572,"64","<=10"
"Abdominal colic",4322528,"<=10","<=10"
"Abdominal discomfort",4183041,"<=10","<=10"
"Abdominal distension",4218984,"<=10","79"
"Abdominal distension, gaseous",4152351,"<=10","<=10"
"Abdominal fibromatosis",4266333,"25","<=10"
"Abdominal mass",192438,"26","<=10"
"Abdominal organ finding",4096864,"<=10","<=10"
"Abdominal pain",200219,"982","8236"
"Abdominal pain - cause unknown",4200114,"<=10","<=10"
"Abdominal pain in pregnancy",4149783,"63","<=10"
"Abdominal pregnancy",193525,"<=10","<=10"
"Abdominal wall fistula",4055204,"<=10","<=10"
"Abdominal wall pain",4012073,"<=10","<=10"
"Abdominal wind pain",4263576,"<=10","<=10"
"Abducens nerve disorder",4162701,"<=10","<=10"
"Abducens nerve palsy",381572,"18","<=10"
"Aberrant premature complexes",4091901,"<=10","<=10"
"Aberrant retroesophageal brachiocephalic artery",4109473,"<=10","<=10"
"Abetalipoproteinemia",4098595,"<=10","<=10"
"Able to make decision on safe information to give over telephone",37399526,"<=10","<=10"
"Able to manage nutrition",763734,"<=10","<=10"
"Able to manage urinary catheter care",37396558,"<=10","<=10"
"Able to manage urostomy stoma",45766873,"13","<=10"
"Able to mobilize using wheelchair",4199115,"<=10","<=10"
"Able to perform intermittent urethral self-catheterization",45768507,"22","<=10"
"Able to perform telephone activities",4114956,"<=10","<=10"
"Able to recognize own emotional pain and distress",37396573,"<=10","<=10"
"Able to tolerate being cleaned during toileting",37398995,"<=10","<=10"
"Able to transfer from wheelchair to chair",37018945,"<=10","<=10"
"Abnormal amniotic fluid",4170747,"<=10","<=10"
"Abnormal anal Papanicolaou smear",443698,"<=10","<=10"
"Abnormal behavior",4093424,"<=10","<=10"
"Abnormal biochemical finding on antenatal screening of mother",45601790,"<=10","<=10"
"Abnormal bladder continence",4032498,"<=10","<=10"
"Abnormal blood pressure",4305577,"<=10","<=10"
"Abnormal blood test",36712924,"<=10","<=10"
"Abnormal bowel sounds",45563294,"<=10","<=10"
"Abnormal breathing",4305080,"<=10","<=10"
"Abnormal cardiovascular function",138255,"<=10","<=10"
"Abnormal cervical Papanicolaou smear",433033,"15","<=10"
"Abnormal cervical Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected",40480043,"<=10","<=10"
"Abnormal cervical smear",434165,"<=10","<=10"
"Abnormal chromosomal and genetic finding on antenatal screening of mother",4064724,"<=10","<=10"
"Abnormal cytological finding on antenatal screening of mother",45539113,"<=10","<=10"
"Abnormal cytology findings",443411,"<=10","<=10"
"Abnormal ejaculation",4297368,"<=10","<=10"
"Abnormal female sexual function",4102288,"<=10","<=10"
"Abnormal fetal heart rate",314099,"<=10","<=10"
"Abnormal finding of blood chemistry, unspecified",45577814,"<=10","12"
"Abnormal finding on antenatal screening of mother, unspecified",45567903,"13","<=10"
"Abnormal finding on evaluation procedure",40484102,"<=10","<=10"
"Abnormal findings diagnostic imaging of liver+biliary tract",436231,"<=10","<=10"
"Abnormal findings in cerebrospinal fluid, Abnormal histological findings",45553749,"<=10","<=10"
"Abnormal findings in cerebrospinal fluid, Abnormal level of enzymes",45582726,"<=10","<=10"
"Abnormal findings in cerebrospinal fluid, Abnormal microbiological findings",45602042,"<=10","<=10"
"Abnormal findings in cerebrospinal fluid, Other abnormal findings",45558485,"<=10","<=10"
"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal level of other drugs, medicaments and biological substances",45602043,"<=10","<=10"
"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal microbiological findings",45587531,"85","<=10"
"Abnormal findings in specimens from digestive organs and abdominal cavity, other abnormal findings",45553752,"<=10","<=10"
"Abnormal findings in specimens from female genital organs, abnormal microbiological findings",45563329,"<=10","<=10"
"Abnormal findings in specimens from female genital organs, unspecified abnormal finding",45553754,"<=10","<=10"
"Abnormal findings in specimens from male genital organs, abnormal microbiological findings",45577821,"<=10","<=10"
"Abnormal findings in specimens from other organs, systems and tissues, abnormal cytological findings",45606831,"<=10","<=10"
"Abnormal findings in specimens from other organs, systems and tissues, abnormal histological findings",45573047,"<=10","<=10"
"Abnormal findings in specimens from other organs, systems and tissues, abnormal level of hormones",45592440,"<=10","<=10"
"Abnormal findings in specimens from other organs, systems and tissues, abnormal level of other drugs, medicaments and biological substances",45539368,"<=10","<=10"
"Abnormal findings in specimens from other organs, systems and tissues, abnormal microbiological findings",45553755,"<=10","<=10"
"Abnormal findings in specimens from other organs, systems and tissues, other abnormal findings",45534477,"<=10","<=10"
"Abnormal findings in specimens from respiratory organs and thorax, abnormal cytological findings",45539363,"<=10","<=10"
"Abnormal findings in specimens from respiratory organs and thorax, abnormal histological findings",45573043,"<=10","<=10"
"Abnormal findings in specimens from respiratory organs and thorax, abnormal microbiological findings",45587530,"284","133"
"Abnormal findings in specimens from respiratory organs and thorax, other abnormal findings",45553750,"<=10","<=10"
"Abnormal findings on antenatal screening of mother",437688,"103","<=10"
"Abnormal findings on cytological and histological examination of urine",45582725,"18","14"
"Abnormal findings on diagnostic imaging of breast",45577824,"13","<=10"
"Abnormal findings on diagnostic imaging of heart and coronary circulation",45563334,"33","37"
"Abnormal findings on diagnostic imaging of limbs",4171776,"<=10","<=10"
"Abnormal findings on diagnostic imaging of limbs",45577827,"<=10","<=10"
"Abnormal findings on diagnostic imaging of liver and biliary tract",45544168,"99","55"
"Abnormal findings on diagnostic imaging of lung",437677,"17","<=10"
"Abnormal findings on diagnostic imaging of lung",45548995,"1307","905"
"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",45577826,"62","76"
"Abnormal findings on diagnostic imaging of other parts of digestive tract",45587537,"<=10","124"
"Abnormal findings on diagnostic imaging of other parts of musculoskeletal system",45568156,"63","78"
"Abnormal findings on diagnostic imaging of other specified body structures",45597210,"98","130"
"Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified",45563333,"75","74"
"Abnormal findings on diagnostic imaging of urinary organs",45582731,"<=10","39"
"Abnormal findings on microbiological examination of urine",45597202,"325","47"
"Abnormal flushing and sweating",37396530,"<=10","<=10"
"Abnormal frequency of defecation",4322240,"<=10","<=10"
"Abnormal gait",437643,"77","<=10"
"Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium",438480,"<=10","<=10"
"Abnormal glucose tolerance test",45597198,"794","162"
"Abnormal haematological finding on antenatal screening of mother",45606555,"<=10","<=10"
"Abnormal head movements",45544137,"<=10","<=10"
"Abnormal human chorionic gonadotropin",4036664,"<=10","<=10"
"Abnormal intestinal absorption",4267222,"<=10","<=10"
"Abnormal involuntary movement",376229,"<=10","<=10"
"Abnormal jaw closure",433805,"<=10","<=10"
"Abnormal large bowel motility",4281823,"<=10","<=10"
"Abnormal level of blood mineral",45558482,"1681","83"
"Abnormal levels of other serum enzymes",45587524,"<=10","226"
"Abnormal liver function",4326594,"44","<=10"
"Abnormal metabolic state due to diabetes mellitus",4034964,"<=10","<=10"
"Abnormal movement",4021490,"<=10","<=10"
"Abnormal nerve conduction",373875,"<=10","<=10"
"Abnormal nervous system function",4045562,"<=10","<=10"
"Abnormal ocular motility",4011323,"<=10","<=10"
"Abnormal perimenopausal bleeding",4201098,"<=10","<=10"
"Abnormal placenta affecting management of mother",4210474,"<=10","<=10"
"Abnormal plasma viscosity",45539356,"<=10","<=10"
"Abnormal postural reflex",4196217,"<=10","<=10"
"Abnormal pregnancy",4007285,"<=10","<=10"
"Abnormal radiological finding on antenatal screening of mother",45592206,"<=10","<=10"
"Abnormal radionuclide scan",4031225,"<=10","<=10"
"Abnormal rapid eye movement sleep",4287868,"<=10","<=10"
"Abnormal reaction to tuberculin test",45606821,"<=10","<=10"
"Abnormal reflex",45606802,"<=10","<=10"
"Abnormal renal function",4192056,"23","<=10"
"Abnormal results function studies of central nervous system",432451,"<=10","<=10"
"Abnormal results of cardiovascular function studies",45539372,"<=10","215"
"Abnormal results of function studies of central nervous system",45539370,"<=10","13"
"Abnormal results of function studies of other organs and systems",45568159,"<=10","<=10"
"Abnormal results of function studies of peripheral nervous system and special senses",45582733,"<=10","<=10"
"Abnormal results of kidney function studies",45568158,"<=10","220"
"Abnormal results of liver function studies",45577830,"1737","2907"
"Abnormal results of other endocrine function studies",45544170,"<=10","26"
"Abnormal results of pulmonary function studies",45592443,"13","<=10"
"Abnormal results of thyroid function studies",45563335,"<=10","34"
"Abnormal secretion of gastrin",45600648,"<=10","<=10"
"Abnormal sensation",433227,"<=10","<=10"
"Abnormal sexual function",4237140,"<=10","<=10"
"Abnormal small bowel motility",4228534,"<=10","<=10"
"Abnormal sputum",433596,"<=10","<=10"
"Abnormal sputum",45558452,"<=10","14"
"Abnormal structure of albumin",4133722,"<=10","<=10"
"Abnormal tooth mobility",4002000,"12","<=10"
"Abnormal umbilical cord",4233364,"<=10","<=10"
"Abnormal urinary stream",4225244,"<=10","<=10"
"Abnormal urine",4009585,"<=10","<=10"
"Abnormal urine levels of substances chiefly nonmedicinal as to source",45539362,"<=10","<=10"
"Abnormal uterine and vaginal bleeding, unspecified",45592158,"187","145"
"Abnormal uterine bleeding",45757810,"<=10","<=10"
"Abnormal vaginal Papanicolaou smear",438559,"17","<=10"
"Abnormal vision",373786,"19","<=10"
"Abnormal weight gain",439141,"<=10","<=10"
"Abnormal weight gain",45544155,"34","18"
"Abnormal weight loss",435928,"<=10","<=10"
"Abnormal weight loss",45568144,"1706","1829"
"Abnormalities of size and form of teeth",45586687,"<=10","<=10"
"Abnormality of albumin",45534463,"23","<=10"
"Abnormality of alphafetoprotein",45592431,"<=10","<=10"
"Abnormality of fetal heart",43021739,"11","<=10"
"Abnormality of organs AND/OR soft tissues of pelvis affecting pregnancy",197050,"54","<=10"
"Abnormality of plasma protein, unspecified",45539359,"<=10","<=10"
"Abnormality of red blood cells",45573038,"<=10","11"
"Abnormality of white blood cells, not elsewhere classified",45602037,"109","173"
"Abrasion",4219871,"<=10","72"
"Abrasion of chest wall, infected",4052363,"<=10","<=10"
"Abrasion of face, infected",4050695,"<=10","<=10"
"Abrasion of hand",4106682,"<=10","<=10"
"Abrasion of perineum, infected",4052365,"<=10","<=10"
"Abrasion of tooth",436445,"19","<=10"
"Abrasion of vagina",4050826,"<=10","<=10"
"Abrasion, back",4055712,"<=10","<=10"
"Abrasion, buttock",4050705,"<=10","<=10"
"Abrasion, vulva",4050825,"<=10","<=10"
"Abscess",444202,"139","<=10"
"Abscess in epidural space of cervical spine",4179538,"<=10","<=10"
"Abscess of abdominal wall",4214610,"11","<=10"
"Abscess of appendix",4268754,"<=10","<=10"
"Abscess of axilla",4029776,"74","<=10"
"Abscess of back",4205810,"18","<=10"
"Abscess of back, except buttock",4078384,"<=10","<=10"
"Abscess of Bartholin's gland",258482,"<=10","<=10"
"Abscess of Bartholin gland",45587255,"18","<=10"
"Abscess of brain",40480849,"49","<=10"
"Abscess of breast",4153106,"21","<=10"
"Abscess of breast associated with childbirth",45544032,"<=10","<=10"
"Abscess of bursa, lower leg",42618267,"<=10","<=10"
"Abscess of buttock",4273250,"54","<=10"
"Abscess of chest wall",4228164,"<=10","<=10"
"Abscess of corpus cavernosum",4212378,"<=10","<=10"
"Abscess of external ear",4339469,"<=10","<=10"
"Abscess of external ear",45543098,"15","<=10"
"Abscess of eyelid",381308,"<=10","<=10"
"Abscess of face",4061734,"<=10","<=10"
"Abscess of female genital structure",40483230,"<=10","<=10"
"Abscess of foot",4200967,"<=10","<=10"
"Abscess of foot, except toe",4006694,"<=10","<=10"
"Abscess of forearm",4239657,"<=10","<=10"
"Abscess of gallbladder",4137285,"<=10","<=10"
"Abscess of groin",4195436,"25","<=10"
"Abscess of hand",4266590,"<=10","<=10"
"Abscess of intestine",197328,"<=10","<=10"
"Abscess of intestine",45562502,"<=10","12"
"Abscess of jaw",4059177,"<=10","<=10"
"Abscess of knee",4097846,"<=10","<=10"
"Abscess of labia",4151131,"13","<=10"
"Abscess of left thigh",36685942,"<=10","<=10"
"Abscess of left upper limb",36685951,"<=10","<=10"
"Abscess of limb",4061735,"<=10","<=10"
"Abscess of liver",201901,"40","<=10"
"Abscess of liver",45562508,"107","82"
"Abscess of lower limb",4154088,"15","<=10"
"Abscess of lung",257010,"17","<=10"
"Abscess of lung with pneumonia",4025165,"<=10","<=10"
"Abscess of lung with pneumonia",45572176,"<=10","22"
"Abscess of lung without pneumonia",45538484,"<=10","<=10"
"Abscess of nasal septum",4006970,"<=10","<=10"
"Abscess of neck",4266864,"24","<=10"
"Abscess of nose",4222003,"<=10","<=10"
"Abscess of orbit",4218688,"<=10","<=10"
"Abscess of ovary",4250317,"<=10","<=10"
"Abscess of pancreas",4288876,"<=10","<=10"
"Abscess of parotid gland",4025347,"<=10","<=10"
"Abscess of perineum",4147598,"14","<=10"
"Abscess of preauricular sinus",43531493,"<=10","<=10"
"Abscess of prostate",198806,"<=10","<=10"
"Abscess of prostate",45601731,"<=10","<=10"
"Abscess of right foot",36685945,"<=10","<=10"
"Abscess of right forearm",36685949,"<=10","<=10"
"Abscess of right thigh",36685943,"<=10","<=10"
"Abscess of right upper limb",36685950,"<=10","<=10"
"Abscess of salivary gland",31609,"48","23"
"Abscess of salivary gland",45572195,"16","<=10"
"Abscess of scrotum",4100659,"31","<=10"
"Abscess of skin and/or subcutaneous tissue",4137468,"970","733"
"Abscess of skin of left knee",37209056,"<=10","<=10"
"Abscess of spleen",45605381,"<=10","<=10"
"Abscess of submandibular region",4064507,"<=10","<=10"
"Abscess of submental space",4030976,"<=10","<=10"
"Abscess of tendon sheath",4116325,"16","<=10"
"Abscess of tendon sheath",45548469,"<=10","<=10"
"Abscess of tendon sheath, hand",42618125,"<=10","<=10"
"Abscess of tendon sheath, pelvic region and thigh",42618126,"<=10","<=10"
"Abscess of testis",4318849,"<=10","<=10"
"Abscess of thigh",4149198,"<=10","<=10"
"Abscess of upper limb",4151763,"12","<=10"
"Abscess of upper respiratory tract",37109930,"11","<=10"
"Abscess of vulva",434084,"76","28"
"Abscess of vulva",45558169,"53","<=10"
"Abscess with diverticular disease of colon",4342753,"<=10","<=10"
"Abscess, furuncle and carbuncle of nose",45543263,"11","<=10"
"Absence and aplasia of testis",45568065,"<=10","<=10"
"Absence of family member",45600344,"<=10","<=10"
"Absence of iris",45548883,"<=10","<=10"
"Absence of sensation",4141128,"<=10","<=10"
"Absence of toe",4093531,"<=10","<=10"
"Absence seizure",4194232,"57","54"
"Absent adenoids",4082026,"<=10","<=10"
"Absent bladder sensation",4126273,"<=10","<=10"
"Absent blood vessel in umbilical cord",4119149,"<=10","<=10"
"Absent gallbladder function",4279542,"<=10","<=10"
"Absent kidney",4092879,"35","<=10"
"Absent testes",4030343,"<=10","<=10"
"Absent testicle (congenital)",4170630,"<=10","<=10"
"Absolute glaucoma",4078543,"<=10","<=10"
"Abuse of laxatives",4091714,"<=10","<=10"
"Abuse of non-dependence-producing substances",45576553,"<=10","<=10"
"Academic problem",4282391,"<=10","<=10"
"Acanthosis nigricans",45605999,"<=10","<=10"
"Accelerated phase chronic myeloid leukemia",4187635,"<=10","<=10"
"Accessory kidney",45563256,"<=10","43"
"Accessory navicular bone of foot",4033904,"<=10","<=10"
"Accessory right tarsal navicular bone",37108899,"<=10","<=10"
"Accessory thumb(s)",45587470,"<=10","<=10"
"Accident caused by blasting explosive",4054701,"<=10","<=10"
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion, unspecified watercraft",45756229,"<=10","<=10"
"Accident to watercraft causing other injury, other powered watercraft",45571043,"<=10","<=10"
"Accidental acetaminophen overdose",4166500,"<=10","<=10"
"Accidental bite by another person",45566215,"<=10","16"
"Accidental bladder perforation during operation",4137338,"<=10","<=10"
"Accidental clozapine overdose",4176083,"<=10","<=10"
"Accidental discharge from other and unspecified firearms and guns",45542205,"<=10","<=10"
"Accidental drug overdose",4241218,"<=10","<=10"
"Accidental event",432532,"<=10","<=10"
"Accidental fall",435991,"<=10","<=10"
"Accidental hit or strike by another person",45566214,"<=10","<=10"
"Accidental insulin overdose",4176701,"<=10","<=10"
"Accidental kick by another person",45556623,"<=10","<=10"
"Accidental morphine overdose",4173540,"<=10","<=10"
"Accidental needle stick injury",36712756,"<=10","<=10"
"Accidental overdose by carbamazepine",4170014,"<=10","<=10"
"Accidental overdose by codeine",4173537,"<=10","<=10"
"Accidental poisoning by and exposure to alcohol, home",42503693,"<=10","12"
"Accidental poisoning by and exposure to alcohol, school, other institution and public administrative area",42503695,"<=10","<=10"
"Accidental poisoning by and exposure to alcohol, unspecified place",42503702,"<=10","13"
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC, home",42503648,"<=10","26"
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC, residential institution",42503649,"<=10","<=10"
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC, school, other institution and public administrative area",42503650,"<=10","<=10"
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC, street and highway",42503652,"<=10","<=10"
"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, NEC, unspecified place",42503657,"<=10","<=10"
"Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust",710671,"<=10","<=10"
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] NEC, home",42503659,"<=10","49"
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] NEC, school, other institution and public administrative area",42503661,"<=10","<=10"
"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens] NEC, unspecified place",42503669,"<=10","26"
