CODE,TERM
N97,Female infertility
N970,Female infertility associated with anovulation
N971,Female infertility of tubal origin
N972,Female infertility of uterine origin
N973,Female infertility of cervical origin
N974,Female infertility associated with male factors
N978,Female infertility of other origin
N979,"Female infertility, unspecified"
N98,Complications associated with artificial fertilization
N980,Infection associated with artificial insemination
N981,Hyperstimulation of ovaries
N982,Complications of attempted introduction of fertilized ovum following in vitro fertilization
N983,Complications of attempted introduction of embryo in embryo transfer
N988,Other complications associated with artificial fertilization
N989,"Complication associated with artificial fertilization, unspecified"
Y658,Other specified misadventures during surgical and medical care
Z31,Procreative management
Z310,Tuboplasty or vasoplasty after previous sterilization
Z311,Artificial insemination
Z312,In vitro fertilization
Z313,Other assisted fertilization methods
Z314,Procreative investigation and testing
Z315,Genetic counselling
Z316,General counselling and advice on procreation
Z318,Other procreative management
Z319,"Procreative management, unspecified"
Z928,Personal history of other medical treatment
A50,Congenital syphilis
A500,"Early congenital syphilis, symptomatic"
A501,"Early congenital syphilis, latent"
A502,"Early congenital syphilis, unspecified"
A503,Late congenital syphilitic oculopathy
A504,Late congenital neurosyphilis [juvenile neurosyphilis]
A505,"Other late congenital syphilis, symptomatic"
A506,"Late congenital syphilis, latent"
A507,"Late congenital syphilis, unspecified"
A509,"Congenital syphilis, unspecified"
A51,Early syphilis
A510,Primary genital syphilis
A511,Primary anal syphilis
A512,Primary syphilis of other sites
A513,Secondary syphilis of skin and mucous membranes
A514,Other secondary syphilis
A515,"Early syphilis, latent"
A519,"Early syphilis, unspecified"
A52,Late syphilis
A520,Cardiovascular syphilis
A521,Symptomatic neurosyphilis
A522,Asymptomatic neurosyphilis
A523,"Neurosyphilis, unspecified"
A527,Other symptomatic late syphilis
A528,"Late syphilis, latent"
A529,"Late syphilis, unspecified"
A53,Other and unspecified syphilis
A530,"Latent syphilis, unspecified as early or late"
A539,"Syphilis, unspecified"
A54,Gonococcal infection
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A543,Gonococcal infection of eye
A544,Gonococcal infection of musculoskeletal system
A545,Gonococcal pharyngitis
A546,Gonococcal infection of anus and rectum
A548,Other gonococcal infections
A549,"Gonococcal infection, unspecified"
A55,Chlamydial lymphogranuloma (venereum)
A56,Other sexually transmitted chlamydial diseases
A560,Chlamydial infection of lower genitourinary tract
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs
A562,"Chlamydial infection of genitourinary tract, unspecified"
A563,Chlamydial infection of anus and rectum
A564,Chlamydial infection of pharynx
A568,Sexually transmitted chlamydial infection of other sites
A57,Chancroid
A58,Granuloma inguinale
A59,Trichomoniasis
A590,Urogenital trichomoniasis
A598,Trichomoniasis of other sites
A599,"Trichomoniasis, unspecified"
A600,Herpesviral infection of genitalia and urogenital tract
